id,layer,source,title,topic,relation,evidence,life,date,summary
"s1","standards","RFC 8996 / BCP 195","TLS 1.0 and 1.1 formally deprecated and must not be negotiated","TLS","Current Alignment","A","Current","2021-03","Normative TLS baseline for lower-layer configuration checks. Any source that still permits TLS 1.0 or 1.1 creates drift from the standard."
"s2","standards","RFC 6750 / OAuth 2.0 Bearer Token Usage","Bearer tokens without sender constraint are replayable by design","Auth","Normative Conflict","A","Current","2012-10","Bearer tokens grant access to whoever holds them. DPoP or mTLS binding is needed to prevent token replay after exfiltration."
"s3","standards","OWASP CORS Cheat Sheet / Fetch","Wildcard origin with credentials is rejected by browsers","CORS","Normative Conflict","A","Current","2022-01","Authenticated browser APIs need explicit origin allowlists. Wildcard CORS is only valid for public resources without credentials."
"s4","standards","RFC 8725 / JWT Best Current Practices","JWT 'none' algorithm must be rejected by all validators","Tokens","Normative Conflict","A","Current","2020-02","The 'none' algorithm bypass is a known attack vector. Libraries must enforce algorithm allowlists and reject unsigned tokens."
"s5","standards","NIST SP 800-63B","PSTN out-of-band auth is restricted at AAL2 and cannot satisfy AAL3","Auth","Normative Conflict","A","Current","2017-06","SMS OTP can be acceptable only inside a documented assurance boundary. Stronger auth is needed for AAL3 targets."
"s6","standards","NIST SP 800-52r2","TLS server certificates must use RSA 2048+ or ECDSA P-256+","Crypto","Current Alignment","A","Current","2019-08","Certificate key sizes below the threshold are non-compliant. Automated certificate management should enforce minimum key parameters."
"s7","standards","OWASP Secrets Management Cheat Sheet","Secrets must not be stored in source control","Secrets","Normative Conflict","B","Current","2022-04","Prefer workload identity and temporary credentials. Static secrets need controlled storage, rotation, audit, and revocation."
"s8","standards","OWASP ASVS v4.0.3","Session tokens must be invalidated on logout and password change","Session","Normative Conflict","A","Current","2021-10","Server-side session invalidation prevents token reuse. JWTs require explicit revocation lists or short expiry with rotation."
"s9","standards","RFC 9110 / HTTP Semantics","DELETE and PUT are not safe methods and must not be cached","API","Current Alignment","A","Current","2022-06","HTTP method semantics define caching and safety properties. Middleware must respect method classification for security decisions."
"s10","standards","NIST SP 800-131Ar2","SHA-1 is disallowed for digital signatures","Crypto","Normative Conflict","A","Current","2019-03","SHA-1 collision attacks are practical. All signing operations must use SHA-256 or stronger. Legacy systems need migration plans."
"s11","standards","RFC 8446 / TLS 1.3","TLS 1.3 removes static RSA key exchange and compression","TLS","Current Alignment","A","Current","2018-08","Forward secrecy is mandatory in TLS 1.3. Systems negotiating TLS 1.2 should prefer ECDHE cipher suites."
"s12","standards","OWASP Top 10 (2021)","Broken access control is the #1 web application risk","RBAC","Normative Conflict","A","Current","2021-09","Access control failures outnumber injection in current data. Server-side enforcement and deny-by-default are baseline requirements."
"s13","standards","RFC 7517 / JWK","JWK key sets must validate key use and algorithm constraints","Tokens","Normative Conflict","A","Current","2015-05","Accepting any key from a JWKS endpoint without checking 'use' and 'alg' fields enables key confusion attacks."
"s14","standards","NIST SP 800-53r5","Least privilege must be enforced for all system accounts","IAM","Current Alignment","A","Current","2020-09","Administrative access must be scoped and time-limited. Standing privileges create persistent attack surface."
"s15","standards","RFC 7636 / PKCE","Authorization code interception requires PKCE mitigation","OIDC","Normative Conflict","A","Current","2015-09","Public clients cannot protect client secrets. PKCE binds the authorization code to the requesting client."
"s16","standards","OWASP API Security Top 10","Object-level authorization must be checked on every request","API","Normative Conflict","A","Current","2023-06","BOLA is the most common API vulnerability. Resource identifiers must be validated against the authenticated caller's permissions."
